,0
0,155096.23784891862
1,152396.0016594984
2,152373.68565793295
3,152262.10565010566
4,153221.6937174203
5,153992.04911542224
6,149639.8142681508
7,153611.04889796782
8,155328.94252996732
9,153075.60153214983
10,148968.23717907458
11,145313.14018270385
12,149037.0496288512
13,152698.04078410013
14,152875.22019965388
15,153377.9284661982
16,154502.49568068873
17,154074.12389071358
18,155040.24083712406
19,157628.14988884507
20,158876.1045895865
21,159297.20881987186
22,160207.23054260548
23,159533.73096156018
24,160645.90083407157
25,160574.77501367085
26,161356.60800715443
27,161826.575358138
28,162824.94672333176
29,165440.63627166447
30,164548.77559466887
31,162673.79040197708
32,163169.85487522444
33,166774.9525990951
34,166552.16711614007
35,166485.3314712536
36,166797.23114739056
37,167813.25433701155
38,164987.29307716546
39,166453.88712919288
40,166447.05662839126
41,168535.47343534886
42,169323.45330713197
43,171831.70016215427
44,166995.5140451874
45,163452.34455072775
46,165664.4076194942
47,168401.93873488926
48,167579.96017453767
49,170095.14551116916
50,166304.75344031546
51,163559.89814828942
52,163581.50796931118
53,154044.23269404026
54,153781.4880217752
55,161525.16134408175
56,164667.03991845596
57,165827.66037360602
58,167235.4032669609
59,164933.85536195213
