,0
0,164933.85536195213
1,167280.0935175436
2,168127.19357237892
3,163902.10714185124
4,161753.90341795905
5,157346.34385788857
6,159198.57510766588
7,157648.63098611834
8,154804.35465979055
9,158513.93220044702
10,160213.33850580783
11,159172.33145386522
12,157157.08624425007
13,155635.85423254085
14,154606.78551873757
15,151005.04502042604
16,148902.165474828
17,145561.62427149512
18,154011.3845718787
19,159429.88328884385
20,161064.43059553168
21,157907.29127713462
22,160387.73528126013
23,161348.88330162253
24,160428.31025587785
25,159555.93564943777
26,162898.4749910019
27,162089.9492677485
28,161240.27289542544
29,159965.7583369409
30,162492.4275493752
31,159607.99986438383
32,163140.86478088488
33,164750.7779073917
34,165287.41561622728
35,168842.64043726315
36,169222.75881435504
37,168820.28053272833
38,166160.67130342513
39,167113.03425541957
40,169730.53927702762
41,171082.3480784017
42,172711.22943458523
43,175909.5416871091
44,173225.64329338277
45,174276.8368309256
46,175305.6645485207
47,177273.85670392
48,181814.1181533071
49,184699.30892656292
50,180830.0220756074
51,184520.38236698115
52,184744.04056645834
53,187226.64658065522
54,186533.3061622759
55,186510.94034232822
56,188076.54773866857
57,189977.64243422475
58,188255.47429825034
59,190492.0562930223
