,0
0,97280.63781952875
1,97973.21878260632
2,98710.96806936282
3,98560.40699043292
4,97235.46949584979
5,98244.22872468013
6,94630.7628303625
7,96196.59805123346
8,95172.78271451015
9,97069.8523090269
10,96241.76637491245
11,97220.41338795681
12,100502.64490862864
13,100638.14987966555
14,100924.21592963237
15,99704.67119030017
16,97009.62787745494
17,95805.13924601574
18,94284.47234882374
19,93772.56468046206
20,94992.10941979426
21,96557.94464066523
22,94916.82888032931
23,94826.49223297137
24,95308.28768554705
25,96015.92475651759
26,97852.76991946237
27,96738.61793538112
28,91965.83173330325
29,92146.50502801914
30,90460.22094400424
31,88322.25362319965
32,86530.57678393382
33,86997.31612861651
34,88006.07535744685
35,87930.79481798189
36,91755.04622280138
37,87539.33601276415
38,86455.29624446887
39,86922.03558915156
40,89195.50788099307
41,89812.80830460566
42,90309.65986507434
43,89842.92052039165
44,87960.90703376789
45,87765.17763115901
46,89767.6399809267
47,90144.04267825146
48,90942.01639657991
49,89165.39566520709
50,88292.14140741366
51,87780.233739052
52,91032.35304393787
53,91589.4290359785
54,93064.92760949153
55,94465.14564353961
56,94465.14564353961
57,91920.66340962428
58,91122.6896912958
59,89105.17123363512
