,0
0,135391.20846662062
1,136373.11253550072
2,135837.52849792977
3,139965.9887875392
4,141349.5808845975
5,141862.848920603
6,144830.87712880867
7,141795.90091590662
8,140256.09680789014
9,144942.45713663596
10,143291.0730207922
11,148312.17337301988
12,147419.53331040163
13,144250.6610881068
14,141304.94888146658
15,139765.14477345007
16,142822.4369879176
17,150119.76949982185
18,155542.55788022775
19,152038.9456344511
20,150209.03350608368
21,152172.84164384386
22,155386.34586926957
23,154516.02180821676
24,153534.11773933668
25,152820.00568924207
26,151190.93757496375
27,139921.35678440827
28,143648.1290458395
29,143358.02102548856
30,134900.25643218058
31,143067.9130051376
32,137712.0726294281
33,143335.7050239231
34,145500.35717577237
35,142889.38499261398
36,140769.36484389563
37,144295.29309123775
38,139051.03272335549
39,139832.09277814644
40,140389.99281728285
41,141438.8448908593
42,140724.73284076471
43,141059.47286424655
44,142755.48898322124
45,147932.80134640713
46,149182.4974340727
47,148914.7054152872
48,149896.60948416727
49,147999.7493511035
50,145254.88115855237
51,146750.05326343793
52,147575.74532135983
53,146839.31726969976
54,147508.79731666346
55,148468.38538397808
56,151815.78561879654
57,148289.85737145442
58,151012.4095624401
59,155096.23784891862
