,0
0,110949.65796062598
1,108831.50169861205
2,110475.8233796552
3,113352.50083220276
4,112951.57613217863
5,111675.25280829557
6,112230.46227777007
7,111550.84889676908
8,111891.16723785069
9,109644.95038438753
10,108968.00446927837
11,106283.38290535501
12,105761.83489373256
13,102070.2947724562
14,103514.793204999
15,102048.79217013171
16,102349.69551121333
17,101990.06131742711
18,103441.28483546802
19,105696.77007987996
20,106946.53997322818
21,106624.32441407844
22,105502.53811077563
23,105586.14237307326
24,105150.97545176596
25,105521.77564355463
26,105517.54964355464
27,106358.093375925
28,104560.37514089339
29,105411.4518986904
30,103665.65986515683
31,101606.94357388324
32,104851.53264352388
33,105221.9834811594
34,105517.99479302092
35,106729.49188067598
36,106072.99409973544
37,105035.37077008266
38,105734.36252519584
39,106662.52580342317
40,106279.23281123757
41,106160.74565481066
42,105898.5740481007
43,106153.15226933503
44,105428.11226596616
45,105909.15480136822
46,105259.68778914737
47,104741.44178969762
48,104899.49569974944
49,103867.21170084999
50,103063.76486852548
51,102929.842538887
52,103521.5006902742
53,104006.53945786567
54,104659.26397775169
55,104442.55147010324
56,103680.69394715782
57,104962.91861843105
58,105834.62359474701
59,105737.4038393931
