,0
0,140611.7675675867
1,138987.87877720158
2,139274.44738726955
3,139917.73347742815
4,136889.4415433774
5,136252.82240989304
6,136857.6105867032
7,137346.60689349068
8,136101.31773319616
9,136251.14651656727
10,135262.77394631805
11,136583.8270833094
12,128146.98256464163
13,127491.79674856018
14,127297.68155675707
15,129812.40023216484
16,128945.02953708361
17,130343.07798954139
18,132003.90261576948
19,132762.922822982
20,132158.87706560545
21,132031.7095377367
22,129647.31839019766
23,127210.68271478987
24,127236.47659675709
25,131355.0320118417
26,134173.45916821616
27,130077.62514929191
28,135493.2945030791
29,133039.8333539772
30,135077.5781796047
31,131275.708959649
32,131556.75672921102
33,133825.55255483845
34,129981.04146135939
35,131820.54318857027
36,131392.91937194398
37,127482.83850920906
38,114734.57957465357
39,103369.19142095822
40,115605.42802453249
41,116118.50278876633
42,116114.82478876633
43,116742.71150060768
44,119539.04621577424
45,121564.53907179399
46,122400.36601008815
47,124106.86998873338
48,126772.01190567273
49,125811.29727354913
50,126856.92870155902
51,128340.39380282968
52,128902.66060580619
53,127595.2189942512
54,126829.0886477296
55,127193.0703209904
56,126151.23419915112
57,127620.5664839669
58,128856.67348318074
59,131194.1274001201
60,132252.92711373194
61,135379.5469689655
62,144663.9025140975
63,157130.05013914546
64,171380.59886546404
65,182109.2972262648
66,165307.56199123425
67,151459.0097563947
68,159420.35304106958
69,162290.54159883564
70,160251.69792075784
71,158680.50581504364
72,159353.04304106956
73,158465.16734512156
74,155905.17125727754
75,155582.35305239444
76,155882.83125727755
77,155706.36397109574
78,155166.3211125503
79,152607.85254629233
80,152711.6407608886
81,149051.12831012835
82,149550.9075937958
83,144689.07475712136
84,144414.14564552443
85,146661.3312613747
86,144291.88295944358
87,145979.94571567082
88,145219.67739157344
89,145239.10000237668
90,144932.14767273772
91,144516.29428908252
92,144490.16009628604
93,143499.04194168304
94,141967.99441318188
95,140310.94126061368
96,139014.51582612132
97,140626.80994718027
98,143136.16056575012
99,142535.80094220207
