,0
0,142535.80094220207
1,144080.02528216658
2,145262.23456077193
3,144140.8542506573
4,145425.05852926266
5,145131.24899858306
6,145235.93570565007
7,145122.2338662884
8,145121.74760564708
9,147213.28587103964
10,147899.17445354853
11,149732.1041946229
12,149305.5544276061
13,149668.58089362047
14,149154.2934001001
15,146734.1169600042
16,147883.70076904976
17,148518.99708457495
18,148518.99708457495
19,148640.00590657972
20,149305.5544276061
21,148034.96179655576
22,149124.04119459892
23,149148.3644001001
24,149748.47851012409
25,149718.2263046229
26,147842.58956354856
27,148840.91234508812
28,148235.86823506415
29,146571.9969324982
30,145210.64768494427
31,145210.64768494427
32,144847.62121892988
33,144514.84695841672
34,141852.6528743112
35,131657.65962040724
36,136377.00367859422
37,135802.21177407145
38,134652.6279650259
39,134682.88017052712
40,134652.6279650259
41,138918.18894069493
42,142155.1749293232
43,140430.79921575487
44,142397.19257333278
45,142548.45360083878
46,142548.45360083878
47,143970.30725939514
48,144605.6035749203
49,143516.52417687714
50,143546.77638237833
51,143698.03740988433
52,144484.5947529155
53,144756.8646024263
54,144242.5771089059
55,144272.8293144071
56,142760.21903934717
57,144212.32490340472
58,141489.62640829684
59,144242.5771089059
60,144242.5771089059
61,144272.8293144071
62,143940.0550538939
