,0
0,137883.39187919
1,137675.6318519974
2,138790.2623243151
3,137848.09687919
4,138054.01357002786
5,137897.00009303167
6,138077.95014935808
7,138954.1434068501
8,140302.3748172281
9,141123.42505862692
10,141317.0374694714
11,141254.5146555309
12,142789.67595047996
13,142756.2766583467
14,142900.79550901288
15,142900.79550901288
16,143363.09778314465
17,145038.94352687235
18,145761.29083020324
19,145472.35190887086
20,145876.86639873617
21,147061.51597619886
22,146252.48699646824
23,145992.44196726911
24,146194.69921220175
25,144316.59622354145
26,145067.83741900558
27,145096.7313111388
28,145096.7313111388
29,145559.03358527058
30,144345.95197227556
31,145382.48046777325
32,144459.23641901807
33,144516.74098082253
34,144979.17603525828
35,144083.20811728906
36,141655.42408150146
37,142984.92486300418
38,142811.5117175908
39,142984.92486300418
40,141886.64160871934
41,141568.71750879477
42,141424.2065542836
43,141135.18464526127
44,141568.71750879477
45,140094.70577278087
46,142869.31609939525
47,141221.89121796796
48,140730.55397263
49,139632.27071834513
