,0
0,100000.0
1,99838.898
2,99943.954
3,99640.956
4,99682.058
5,99564.149
6,100083.263
7,101046.29000000001
8,99635.179
9,99587.244
10,102304.31400000001
11,101223.11200000001
12,99132.008
13,99129.07800000001
14,98678.14800000002
15,101315.25
16,97744.176
17,100852.32500000001
18,99319.291
19,97720.342
20,98397.47700000001
21,99675.57800000001
22,98770.61800000002
23,102907.69900000001
24,97648.6
25,97645.72
26,96862.84000000001
27,98128.99
28,97482.09300000001
29,97392.21900000001
30,105669.34800000001
31,96149.20100000002
32,96946.361
33,96250.49600000001
34,94962.2338437732
35,97577.94976900514
36,97779.00660003541
37,96459.43843833864
38,95668.52871421754
39,100886.77749571166
40,97229.49754092768
41,97325.84692075707
42,99037.4383553865
43,96467.36343101274
44,97548.43891074906
45,93967.37638412247
46,97278.17004081498
47,96324.56638730393
48,96423.06721352923
49,96389.24507478745
