,0
0,84215.87954298363
1,82463.09190587484
2,81908.71553373014
3,82666.01502992306
4,82663.48602992306
5,82660.95702992305
6,82400.50134385072
7,82038.42057507954
8,86487.88652775536
9,80925.84987213956
10,82149.66882317602
11,81916.22313710366
12,82139.52983382894
13,81681.07755070497
14,81839.55297080327
15,81704.09781067289
16,81467.58318464577
17,81424.54525264085
18,81422.05725264085
19,81182.00769460882
20,81196.96973470034
21,81178.17284090245
22,81369.98808126891
23,81954.14312949908
24,81726.9434686867
25,81740.13519123939
26,83479.09877558997
27,83602.51247749236
28,85352.25927621845
29,85243.40657431605
30,85038.90590032103
31,84932.87365803817
32,84816.03760518458
33,84537.92695909693
34,85165.55069600814
35,85044.58077440398
36,85059.50992800467
37,85056.73892800468
38,85047.11885120432
39,85050.19792800467
40,85081.37046560709
41,85078.5924656071
42,85081.51261920777
43,85087.97800320952
44,85084.34392640916
45,85081.68855834841
46,85081.0220482077
47,85081.0220482077
48,85073.84866937072
49,85072.03427481506
