,date,value
0,2019-01-02,100000.0
1,2019-01-03,100000.0
2,2019-01-04,100000.0
3,2019-01-07,100000.0
4,2019-01-08,100000.0
5,2019-01-09,99502.9066
6,2019-01-10,99555.67660000002
7,2019-01-11,101877.55660000001
8,2019-01-14,100188.9166
9,2019-01-15,99819.5266
10,2019-01-16,100294.4566
11,2019-01-17,100136.14660000001
12,2019-01-18,100347.22660000001
13,2019-01-21,100347.22660000001
14,2019-01-22,97919.80660000001
15,2019-01-24,98078.11660000001
16,2019-01-25,97919.80660000001
17,2019-01-28,97867.03660000002
18,2019-01-29,97128.25660000001
19,2019-01-30,98236.42660000002
20,2019-01-31,98025.3466
21,2019-02-01,101191.54660000002
22,2019-02-11,94542.5266
23,2019-02-12,94070.23509999999
24,2019-02-13,94070.23509999999
25,2019-02-14,94070.23509999999
26,2019-02-15,94070.23509999999
27,2019-02-18,93623.44225
28,2019-02-19,94865.17225
29,2019-02-20,96198.88225
30,2019-02-21,93945.37225
31,2019-02-22,100567.93225000001
32,2019-02-25,98590.36225
33,2019-02-26,96014.92225
34,2019-02-27,94681.21225
35,2019-02-28,94221.31224999999
36,2019-03-01,97394.62225
37,2019-03-04,91461.91225000001
38,2019-03-05,91712.32779999998
39,2019-03-06,91712.32779999998
40,2019-03-07,91712.32779999998
41,2019-03-08,91712.32779999998
42,2019-03-11,91260.55664999998
43,2019-03-12,98314.56665
44,2019-03-13,97281.17664999998
45,2019-03-14,97595.68664999999
46,2019-03-15,96607.22665000001
47,2019-03-18,95573.83664999998
48,2019-03-19,96786.94664999998
49,2019-03-20,96876.80664999998
50,2019-03-21,95978.20665
51,2019-03-22,97236.24665
52,2019-03-25,96921.73664999999
53,2019-03-26,96876.80664999998
54,2019-03-27,96786.94664999998
55,2019-03-28,97281.17664999998
56,2019-03-29,98449.35664999999
57,2019-04-01,98584.14664999998
58,2019-04-02,98269.63665
59,2019-04-03,99482.74665
60,2019-04-04,98988.51664999998
61,2019-04-08,98134.84664999999
62,2019-04-09,97460.89664999998
63,2019-04-10,98274.57895
64,2019-04-11,97815.33404999999
65,2019-04-12,99147.20855
66,2019-04-15,98679.57355
67,2019-04-16,99584.67355
68,2019-04-17,101006.97355
69,2019-04-18,101524.17354999999
70,2019-04-19,101739.67355
71,2019-04-22,102127.57355
72,2019-04-23,101955.17355
73,2019-04-24,102084.47355
74,2019-04-25,101998.27355
75,2019-04-26,102041.37355
76,2019-04-29,100101.87355
77,2019-04-30,99455.37355
78,2019-05-06,91950.80154999999
79,2019-05-07,91950.80154999999
80,2019-05-08,91950.80154999999
81,2019-05-09,91950.80154999999
82,2019-05-10,91950.80154999999
83,2019-05-13,91511.87494999998
84,2019-05-14,92348.30494999999
85,2019-05-15,92786.43495
86,2019-05-16,93025.41494999999
87,2019-05-17,93981.33494999999
88,2019-05-20,95813.51495
89,2019-05-21,94260.14494999999
90,2019-05-22,94738.10495
91,2019-05-23,94738.10495
92,2019-05-24,91671.19494999999
93,2019-05-27,95789.01949999998
94,2019-05-28,95348.35699999997
95,2019-05-29,95975.07699999998
96,2019-05-30,97502.70699999998
97,2019-05-31,97816.06699999997
98,2019-06-03,98090.25699999997
99,2019-06-04,96562.62699999996
100,2019-06-05,96758.47699999997
101,2019-06-06,96915.15699999996
102,2019-06-10,97424.36699999998
103,2019-06-11,96719.30699999999
104,2019-06-12,97541.87699999996
105,2019-06-13,96954.32699999998
106,2019-06-14,97071.83699999998
107,2019-06-15,98207.76699999998
108,2019-06-16,97581.04699999998
109,2019-06-17,98090.25699999997
110,2019-06-18,98716.97699999997
111,2019-06-19,99147.84699999997
112,2019-06-20,98364.44699999997
113,2019-06-21,95661.71699999996
114,2019-06-24,92997.96114999999
115,2019-06-25,92997.96114999999
116,2019-06-26,92997.96114999999
117,2019-06-27,92997.96114999999
118,2019-06-28,92997.96114999999
119,2019-07-01,92564.65599999999
120,2019-07-02,92602.02599999998
121,2019-07-03,90770.896
122,2019-07-04,93023.74644999998
123,2019-07-05,92581.97379999998
124,2019-07-08,93411.59379999997
125,2019-07-09,89527.46379999998
126,2019-07-10,88200.44889999997
127,2019-07-11,88200.44889999997
128,2019-07-12,88200.44889999997
129,2019-07-15,88200.44889999997
130,2019-07-16,88200.44889999997
131,2019-07-17,88200.44889999997
132,2019-07-18,87780.81389999998
133,2019-07-19,89824.25389999998
134,2019-07-22,87890.28389999998
135,2019-07-23,87671.34389999998
136,2019-07-24,87361.17889999998
137,2019-07-25,87361.17889999998
138,2019-07-26,86946.41839999998
139,2019-07-29,86515.49839999998
140,2019-07-30,86531.65789999998
141,2019-07-31,86122.30999999998
142,2019-08-01,85712.96209999999
143,2019-08-02,85305.2076
144,2019-08-05,85340.58759999998
145,2019-08-06,85340.58759999998
146,2019-08-07,85163.68759999999
147,2019-08-08,85446.72759999998
148,2019-08-09,85305.2076
149,2019-08-12,85375.96759999999
150,2019-08-13,85552.86759999998
151,2019-08-14,86295.84759999998
152,2019-08-15,87817.18759999999
153,2019-08-16,85623.62759999999
154,2019-08-19,85340.58759999998
155,2019-08-20,88171.34139999999
156,2019-08-21,87748.33909999998
157,2019-08-22,83836.17910000001
158,2019-08-23,85587.56929999999
159,2019-08-26,85192.95025
160,2019-08-27,90049.5233
161,2019-08-28,89627.9742
162,2019-08-29,91995.0542
163,2019-08-30,93457.0742
164,2019-09-02,96137.4442
165,2019-09-03,94814.66420000001
166,2019-09-04,94501.3742
167,2019-09-05,94919.09419999999
168,2019-09-06,95684.91420000001
169,2019-09-09,92726.06420000001
