,date,value
177,2019-09-20,142525.88340000002
178,2019-09-23,146970.3234
179,2019-09-24,145753.3934
180,2019-09-25,149457.09339999998
181,2019-09-26,149298.3634
182,2019-09-27,149668.7334
183,2019-09-30,141785.1434
184,2019-10-08,150092.0134
185,2019-10-09,152790.4234
186,2019-10-10,144430.6434
187,2019-10-11,147711.0634
188,2019-10-14,148187.25340000002
189,2019-10-15,147287.7834
190,2019-10-16,146705.7734
191,2019-10-17,150092.0134
192,2019-10-18,150938.5734
193,2019-10-21,150938.5734
194,2019-10-22,150515.2934
195,2019-10-23,152208.4134
196,2019-10-24,150726.9334
197,2019-10-25,152155.50340000002
198,2019-10-28,153478.25340000002
199,2019-10-29,150250.7434
200,2019-10-30,149827.4634
201,2019-10-31,150303.6534
202,2019-11-01,149774.5534
203,2019-11-04,151626.4034
204,2019-11-05,152790.4234
205,2019-11-06,150356.5634
206,2019-11-07,153425.34339999998
207,2019-11-08,154324.8134
208,2019-11-11,153689.8934
209,2019-11-12,153213.7034
210,2019-11-13,154483.5434
211,2019-11-14,151150.2134
212,2019-11-15,155118.4634
213,2019-11-18,155806.2934
214,2019-11-19,157287.7734
215,2019-11-20,157129.0434
216,2019-11-21,157340.6834
217,2019-11-22,157499.4134
218,2019-11-25,155859.2034
219,2019-11-26,154536.4534
220,2019-11-27,155806.2934
221,2019-11-28,154748.09339999998
222,2019-11-29,154748.09339999998
223,2019-12-02,154483.5434
224,2019-12-03,154430.6334
225,2019-12-04,153742.8034
226,2019-12-05,156017.9334
227,2019-12-06,154324.8134
228,2019-12-09,153901.5334
229,2019-12-10,155806.2934
230,2019-12-11,148398.8934
231,2019-12-12,147499.4234
232,2019-12-13,151996.7734
233,2019-12-16,150409.4734
234,2019-12-17,151573.4934
235,2019-12-18,151890.9534
236,2019-12-19,151573.4934
237,2019-12-20,152790.4234
238,2019-12-23,155383.0134
239,2019-12-24,156017.9334
240,2019-12-25,157763.9634
241,2019-12-26,156388.3034
242,2019-12-27,156811.5834
243,2019-12-30,160356.5534
244,2019-12-31,159668.7234
245,2020-01-02,160462.3734
246,2020-01-03,162420.0434
247,2020-01-06,162578.7734
248,2020-01-07,166811.5734
249,2020-01-08,165435.9134
250,2020-01-09,165224.2734
251,2020-01-10,165541.7334
252,2020-01-13,166176.6534
253,2020-01-14,171732.2034
254,2020-01-15,162208.4034
255,2020-01-16,163689.8834
256,2020-01-17,164271.8934
257,2020-01-20,164695.1734
258,2020-01-21,155330.1034
259,2020-01-22,153266.6134
260,2020-01-23,155806.2934
261,2020-02-10,164166.0734
262,2020-02-11,161203.1134
263,2020-02-12,163054.9634
264,2020-02-13,163002.0534
265,2020-02-14,166811.5734
266,2020-02-17,163266.6034
267,2020-02-18,162314.2234
268,2020-02-19,156229.5734
269,2020-02-20,162790.4134
270,2020-02-21,164166.0734
271,2020-02-24,163848.6134
272,2020-02-25,163848.6134
273,2020-02-26,165541.7334
274,2020-02-27,169192.5234
275,2020-02-28,172049.6634
