,0
0,104150.42400618539
1,104000.9666680658
2,103649.13333193614
3,104491.69541084363
4,103785.79540321318
5,104335.72613562697
6,105029.83390072643
7,105676.9077258259
8,106224.14284626496
9,105702.72619955722
10,106208.87923660793
11,107033.46825239724
12,107958.93550510093
13,107952.25450510092
14,107725.30169578074
15,106691.46814460277
16,107192.23127095461
17,110761.85849092339
18,110542.68375236605
19,110482.4513924177
20,106557.76201959414
21,105951.80763587328
22,105664.31403804905
23,104465.26952568574
24,104761.13294159398
25,104510.0026871382
26,105037.05060512268
27,105858.57542813789
28,105698.68921235173
29,103885.67602371998
30,101668.2887020423
31,100990.09931193605
32,99484.58493160931
33,97866.11262632575
34,98877.97184793476
35,98346.34342546907
36,97895.1756272594
37,96953.08067566648
38,95090.74094075838
39,94843.06513510147
40,95841.85414588095
41,95599.73350352632
42,95248.92891008413
43,94656.63839697777
44,95022.93086683452
45,95785.64547725045
46,95809.39986063613
47,95962.06139368155
48,96035.05260760852
49,96048.21076400396
50,96665.10853796823
51,96550.68645000705
52,96306.57654239425
53,95414.655241726
54,94851.71607568536
55,94404.06722704993
56,93724.18221070222
57,93464.98888278416
58,94284.62758134448
59,94021.86762715803
