,0
0,109066.50648168591
1,109493.89217947415
2,109943.07933581379
3,109833.52814064245
4,108832.60102313451
5,109650.2339307826
6,106451.75524667004
7,107932.65447645215
8,106885.88074928692
9,108884.7081839456
10,107949.12292108052
11,109036.1805574326
12,112717.04375193102
13,112869.04596133693
14,113189.93951452716
15,111821.91962987406
16,108798.76457613452
17,107447.63382585986
18,105741.83125363811
19,105167.60068477137
20,106535.62056942447
21,108292.09054478152
22,106451.1748975323
23,106349.8400912617
24,106890.29239137156
25,107630.75470715793
26,109683.69884132677
27,108434.64289732272
28,103083.95729935938
29,103286.5069119006
30,101396.04386151605
31,98999.20677977856
32,96990.58978874498
33,97513.84295447642
34,98644.74495783146
35,98560.34928593927
36,102847.64941806132
37,98121.49179210002
38,96906.19411685283
39,97429.44728258427
40,99978.19657372768
41,100670.24108324343
42,101227.25251773174
43,100703.9993520003
44,98594.10755469615
45,98374.67880777651
46,100619.60368010814
47,101041.58203956897
48,101877.19216162592
49,99880.65767497082
50,98902.24788102169
51,98328.69731215497
52,101972.43033789654
53,102596.58830989857
54,104249.76347898503
55,105818.59297617931
56,105818.59297617931
57,102967.7092662241
58,102073.64514416714
59,99813.18113745708
