,0
0,125661.77862304392
1,126573.1442369813
2,126076.03572028819
3,129907.91386979762
4,131192.11087125482
5,131668.50653308572
6,134423.31622976006
7,131606.36796849908
8,130177.18098300639
9,134526.88050407113
10,132994.12924426736
11,137654.5215882653
12,136826.0073937768
13,133884.78200334252
14,131150.6851615304
15,129721.4981760377
16,132559.15929216088
17,139332.26283210458
18,144365.48656362237
19,141113.5683502549
20,139415.11425155343
21,141237.8454794282
22,144220.49657958688
23,143412.69523996057
24,142522.06014184369
25,141855.36840660442
26,140343.26580808984
27,129882.8300238453
28,133342.0236396252
29,133072.74509468424
30,125222.23982294426
31,132803.4665497433
32,127832.17033544886
33,133052.03136045803
34,135061.263580402
35,132637.7566759335
36,130669.95192444192
37,133942.72193218578
38,129074.99438902245
39,129799.9750869404
40,130317.81844259606
41,131291.36395122873
42,130628.52445598946
43,130939.23046938288
44,132513.47427057612
45,137319.06061106073
46,138479.02972772944
47,138230.46491701473
48,139141.8692229687
49,137381.20181373943
50,134833.4125039135
51,136221.23269707072
52,136987.64086344113
53,136304.08763397564
54,136925.49966076243
55,137816.1902324902
56,140923.2503664242
57,137650.48035868036
58,140177.55593428004
59,143968.16929767953
