,0
0,88548.41068969344
1,89190.45962829208
2,88840.2511163292
3,91539.7750627098
4,92444.4803852806
5,92780.09687591171
6,94720.83571303939
7,92736.32081191635
8,91729.47134002304
9,94793.79581969832
10,93713.98624114608
11,96997.19104079818
12,96413.5101875267
13,94341.44315841292
14,92415.29634261703
15,91408.44687072371
16,93407.55379317855
17,98179.14476867294
18,101725.0059522972
19,99434.05860320663
20,98237.51285400009
21,99521.61073119736
22,101622.8618029747
23,101053.772971035
24,100411.72403243637
25,99944.77934981917
26,98879.56179259872
27,91510.59102004622
28,93947.45858245468
29,93757.76230514144
30,88227.38622039412
31,93568.0660278282
32,90065.9809081993
33,93743.17028380965
34,95158.596352993
35,93451.32985717391
36,92065.08783065414
37,94370.62720107651
38,90941.50218810653
39,91452.22293471907
40,91817.02346801375
41,92502.84847060774
42,92035.90378799057
43,92254.78410796737
44,93363.77772918319
45,96749.1266781578
46,97566.27987273788
47,97391.17561675643
48,98033.22455535506
49,96792.90274215316
50,94998.08411834335
51,95975.74954757308
52,96515.65433684921
53,96034.11763290023
54,96471.87827285385
55,97099.33519012069
56,99288.13838988876
57,96982.59901946639
58,98762.82562194442
59,101433.16552566146
