,0
0,101200.53399045001
1,101862.51568068514
2,101957.48727149401
3,101943.10495554173
4,101925.96662854205
5,101922.60465556897
6,101977.55665556897
7,101916.44665556897
8,102111.7996839848
9,101885.89202755172
10,102033.12940749555
11,101983.28345137983
12,102127.78119307905
13,102083.02715169721
14,102102.04576674847
15,102096.95006374891
16,102096.95006374891
17,102096.95006374891
18,102096.95006374891
19,101840.58806374892
20,101833.47506374892
21,101843.9987016313
22,101839.52531279127
23,101839.52531279127
24,101839.52531279127
25,101839.52531279127
26,101721.42731279127
27,101804.44031279128
28,101798.9293009352
29,101996.21735785049
30,101735.81422490066
31,101914.32451970047
32,101982.46117643875
33,102121.52996656937
34,102067.23068110795
35,102040.39292877335
36,101958.73497679275
37,101741.14681538528
38,101488.85422622817
39,101698.00250190872
40,101877.70972067397
41,101872.62542543166
42,101825.00377803175
43,101290.21016975539
44,100323.3110283522
45,99991.73641919083
46,100224.83165707535
47,99878.15822888321
48,100353.68915196366
49,100527.62033249039
50,100449.19549478288
51,100396.58717108292
52,99755.6964863295
53,100029.7601332869
54,99928.97917152543
55,99518.02176245255
56,100267.85311416764
57,100250.13370465225
58,101459.04471310563
59,101656.96077002092
