,0
0,100118.72341721295
1,99750.04041721295
2,99637.71941721295
3,99888.22456015958
4,99899.91450254506
5,99761.05158406681
6,99109.95024182551
7,99178.58238866657
8,99199.41790244334
9,98918.12988396303
10,97789.98662188817
11,97658.81083551885
12,96717.32229483129
13,96770.78289208584
14,97261.55376176385
15,97262.73250880936
16,97046.87631641893
17,97194.74003339128
18,98239.64612107401
19,99347.32849366503
20,97802.05842645006
21,97516.07475025942
22,97698.92944230883
23,98543.8807629513
24,97766.03844230883
25,97480.10345070498
26,98054.60407651827
27,99659.81480707889
28,99939.67980273208
29,100581.46856713179
30,100125.1677523921
31,100095.95052462506
32,98763.81480194497
33,97778.08595915628
34,100401.53741450906
35,101084.69019852376
36,102201.35824105472
37,100538.24475477239
38,101413.47069895567
39,101759.73495358057
40,101316.29552823037
41,100868.93031619654
42,101796.51740185556
43,101444.23783763894
44,103057.5376058275
45,101169.8075362749
46,97387.12259786317
47,99935.9703889818
48,101721.78731269548
49,101526.97092101762
50,101640.61381616304
51,102347.74963944635
52,102442.30848434805
53,102750.07974592717
54,98622.111970033
55,98881.16512452021
56,99319.21689848503
57,102161.70191520438
58,102550.28960042263
59,104150.42400618539
