,0
0,102119.77330709774
1,101972.9313303636
2,101601.38539008146
3,102443.35873768812
4,101712.58941712383
5,102268.6095523358
6,102951.7200041676
7,103634.83045599943
8,104254.39574952131
9,103666.60303515439
10,104222.62317036632
11,105159.91425543789
12,106144.86420924192
13,106144.86420924192
14,105922.45615515714
15,104905.73362219815
16,105398.20859910017
17,109147.37293938642
18,108909.07859572415
19,108845.53343741423
20,104492.69009318356
21,103777.80706219676
22,103428.30869149212
23,102046.20149825102
24,102411.58615853313
25,102109.74665656094
26,102745.19823966031
27,103825.46593092922
28,103618.94416642193
29,101331.31846726422
30,98297.03715796475
31,97359.74607289319
32,95088.00666331296
33,92387.33743514065
34,94214.26073655132
35,93229.31078274731
36,92292.01969767576
37,90020.28028809551
38,86112.25305203443
39,85524.46033766751
40,88304.56101372723
41,87603.96611756054
42,86702.2095418742
43,84993.26298864391
44,86219.26123432186
45,89481.45235006358
46,89638.01763308453
47,90654.10290041851
48,91082.76387257503
49,91151.4085340855
50,93589.13912860792
51,93017.95116573255
52,91780.37724616926
53,88369.11580121914
54,86147.82927892606
55,83910.67642433087
56,80880.20695463102
57,79527.07687388208
58,84241.42075530069
59,81923.5624933912
