,0
0,81923.5624933912
1,79669.20719756142
2,72239.36016623513
3,53061.46441016213
4,59983.28771285073
5,56903.39385798471
6,55072.44720205971
7,57755.736359261406
8,49956.0815517701
9,48480.154660198445
10,45029.716995708695
11,47698.456297952114
12,46730.375962488215
13,47440.118621737805
14,48170.52256367781
15,47820.5288623152
16,46643.27732136824
17,44956.94403298476
18,42093.35920365431
19,41286.747799219724
20,40830.304469263676
21,46219.5317802645
22,53251.25839458335
23,51152.55953414786
24,49814.48910082983
25,51720.72300440955
26,49245.693500568144
27,48984.46092849325
28,46438.63894012427
29,43224.30834933829
30,43949.43379891562
31,48896.214614677185
32,46023.81058403372
33,37638.16677968863
34,38398.271546805176
35,39664.13216581153
36,39914.51237320602
37,36459.64665745192
38,36701.70297829848
39,38664.265944483166
40,42243.812301561724
41,42152.1140973915
42,44285.18557921599
43,50200.48516828559
44,47055.13194498334
45,46314.38829962621
46,48643.71879239485
47,47572.05428978911
48,46521.479128538995
49,46563.037460839216
50,49363.71635741944
51,51294.976310039754
52,55726.28186517804
53,54128.33044728367
54,56137.003452110795
55,56305.68299033211
56,55005.52784511402
57,56602.16019947842
58,57401.78723899055
59,55012.41464358333
