,0
0,145745.65997414416
1,140159.32003022023
2,141249.5802467272
3,137798.08198725604
4,143541.0440356722
5,147352.5034223251
6,149750.8630507278
7,150880.32733904265
8,145885.44989686817
9,145485.10740791174
10,147108.69145819708
11,144245.50789455647
12,140837.69348858876
13,143609.13021639106
14,143669.84290753407
15,145658.71071741718
16,144590.17473472067
17,146307.86130050375
18,144584.84760091116
19,148616.91962616963
20,149314.5603926644
21,150932.289536149
22,145711.9381290865
23,143680.8475913477
24,147533.34302368644
25,147749.55965943242
26,149895.58033738803
27,151440.01701164723
28,150884.31849239062
29,149599.62469124567
30,150164.18306345714
31,150654.66931004298
32,150786.60972712672
33,150865.55083315235
34,150174.04557796664
35,151189.05898178185
36,151389.22848856437
37,151725.33010035788
38,151387.4939116013
39,151253.9923528283
40,151790.64612436228
41,152697.81717565085
42,152435.67331331948
43,152554.35891969994
44,153216.6675758965
45,152910.72594763237
46,152703.55640077262
47,152732.16031592232
48,152472.43110141042
49,151838.13258753638
50,151835.97841487936
51,151309.84453089957
52,151415.4094590154
53,151601.97665049712
54,150665.10134537471
55,149957.43405882595
56,150683.9908605929
57,151479.87218026453
58,152658.89364045
59,151903.26372239733
