,0
0,94021.86762715803
1,93750.49399311369
2,93317.16382700461
3,91268.07713793677
4,92356.97597262221
5,91953.57382953745
6,91811.4190082884
7,92119.58695430092
8,90722.98334795526
9,90547.16104042677
10,90351.60028796343
11,90673.92986703303
12,90592.77890800063
13,90664.71040227955
14,90744.06360318523
15,90719.8932171688
16,90613.13472114965
17,90565.12235788652
18,90563.92089702596
19,90563.92089702596
20,90563.92089702596
21,90563.92089702596
22,90563.92089702596
23,90563.92089702596
24,90563.92089702596
25,90563.92089702596
26,90563.92089702596
27,90563.92089702596
28,90563.92089702596
29,90563.92089702596
30,90563.92089702596
31,90563.92089702596
32,90563.92089702596
33,90563.92089702596
34,90573.24602032604
35,90572.78157629815
36,90572.78157629815
37,90572.78157629815
38,90572.78157629815
39,90572.78157629815
40,90678.77294113426
41,90671.2278786657
42,90672.28114727378
43,90672.20590161037
44,90583.39670635112
45,90582.17659088665
46,90582.17659088665
47,90582.17659088665
48,90582.17659088665
49,90582.1839293413
50,90581.7754681859
51,90581.7754681859
52,90581.7754681859
53,90581.7754681859
54,90581.7754681859
55,90585.44658762895
56,90583.66696594641
57,90676.15001721351
58,90672.75636776099
59,90672.75636776099
