,0
0,213458.75745382492
1,204850.20720146358
2,206641.16723187055
3,201387.08062304105
4,210412.8059762439
5,216520.1089023962
6,220534.78691462614
7,222114.31440183165
8,215563.27288237668
9,215127.7361109648
10,216867.65661876707
11,213773.9666800807
12,210786.59880380658
13,212746.58886725648
14,212784.48980478317
15,214212.2434541844
16,213622.6663270787
17,214324.35601773727
18,213707.37017535293
19,215038.3916317752
20,215205.5236537631
21,215488.75821758268
22,215197.7984834175
23,215144.39851202676
24,215331.20863993355
25,215327.7772670701
26,215327.7772670701
27,215327.7772670701
28,215327.7772670701
29,215327.7772670701
30,215327.7772670701
31,215327.7772670701
32,215338.74677535356
33,215335.96274953117
34,215335.96274953117
35,215335.96274953117
36,215335.96274953117
37,215335.96274953117
38,215335.96274953117
39,215335.96274953117
40,215335.96274953117
41,215426.2700310764
42,215422.17736920458
43,215422.17736920458
44,215422.17736920458
45,215422.17736920458
46,215422.17736920458
47,215422.17736920458
48,215422.17736920458
49,215422.17736920458
50,215422.17736920458
51,215422.17736920458
52,215422.17736920458
53,215422.17736920458
54,215124.39390595694
55,215117.80780767917
56,215217.3515267229
57,215213.30902357862
58,215213.30902357862
59,215213.30902357862
