,0
0,169193.1787374586
1,168503.79597970378
2,170318.04589607607
3,169297.2774164084
4,169685.50710322132
5,166821.94987996493
6,167368.39472859775
7,166883.8194936124
8,168086.19335762603
9,167577.72428169832
10,164894.580182211
11,164505.03771993075
12,165756.12211446196
13,166524.1625618497
14,167408.01498665437
15,166191.7661029416
16,166152.5351057492
17,165946.24975496493
18,165979.19199724396
19,165979.67374373443
20,165972.51728499672
21,165972.51728499672
22,165972.51728499672
23,165972.51728499672
24,165972.51728499672
25,165972.51728499672
26,165972.51728499672
27,165972.51728499672
28,165972.51728499672
29,165972.51728499672
30,165972.51728499672
31,165972.51728499672
32,165972.51728499672
33,165972.51728499672
34,165972.51728499672
35,165972.51728499672
36,165972.51728499672
37,165972.51728499672
38,165972.51728499672
39,165972.51728499672
40,165972.51728499672
41,165972.51728499672
42,165972.51728499672
43,165972.51728499672
44,165972.51728499672
45,165972.51728499672
46,165972.51728499672
47,165972.51728499672
48,165972.51728499672
49,165972.51728499672
50,165972.51728499672
51,165972.51728499672
52,165972.51728499672
53,165972.51728499672
54,165972.51728499672
55,165972.51728499672
56,165972.51728499672
57,165972.51728499672
58,165972.51728499672
59,165972.51728499672
