,0
0,98542.85540460078
1,98764.22284408442
2,98993.95576875178
3,98929.19115147274
4,98322.38591941707
5,98839.94875518672
6,96716.34794048945
7,97731.4667601916
8,96989.24176269404
9,98472.39012214809
10,97760.78223550563
11,98652.76873790128
12,101877.32796132045
13,102011.74273549831
14,102301.70480542934
15,101065.55071782864
16,98333.80279584683
17,97112.90986982144
18,95571.53255071439
19,95052.65305715358
20,96288.80714475429
21,97875.96794858729
22,96212.5013368777
23,96120.9343674258
24,96609.29153783596
25,97326.56613187588
26,99188.42784406459
27,98059.10188749111
28,93221.3136681155
29,93404.4476070193
30,91695.19751058376
31,89528.1125668887
32,87712.03433942593
33,88185.13034826076
34,89207.62817380702
35,89131.32236593043
36,93007.65740606104
37,88734.53216497219
38,87635.72853154934
39,88108.82454038417
40,90413.2599382571
41,91038.96756284511
42,91542.58589483058
43,91069.48988599575
44,89161.84468908107
45,88963.44958860194
46,90993.18407811917
47,91374.7131175021
48,92183.55468099391
49,90382.73761510647
50,89497.59024373806
51,88978.71075017727
52,92275.12165044581
53,92839.78462873257
54,94335.37846311367
55,95754.66648961819
56,95754.66648961819
57,93175.53018338955
58,92366.68861989773
59,90321.69296880519
