,0
0,100208.24745155121
1,100195.29299611696
2,100211.3485031482
3,100208.87269983553
4,100208.87269983553
5,100208.87269983553
6,100161.86849254835
7,100219.60465517425
8,100208.6432913481
9,100207.89817193591
10,100207.89817193591
11,100207.89817193591
12,100419.44417193592
13,100422.80438442889
14,100418.52763534355
15,100418.52763534355
16,100232.90863534354
17,100223.56942670097
18,100223.31876102713
19,100209.6750967475
20,100212.06348457775
21,100315.12056181775
22,100200.0866927545
23,100189.56381110483
24,100195.93863036447
25,100193.43356953774
26,100193.43356953774
27,100193.43356953774
28,100193.43356953774
29,100193.43356953774
30,100193.43356953774
31,100045.42856953773
32,99834.76848476555
33,99851.78112706901
34,99958.53121062614
35,99949.31756984854
36,100287.25114070403
37,100184.31385469329
38,100182.30394837898
39,100191.53965266967
40,100189.43007609878
41,100189.43007609878
42,100189.43007609878
43,100179.62602429577
44,100178.045503551
45,100178.03864099713
46,100178.03651873804
47,100178.03651873804
48,100178.03651873804
49,100178.03651873804
50,100178.03651873804
51,100178.03651873804
52,100178.03651873804
53,100192.3052661218
54,100189.50286330197
55,100189.50286330197
56,100189.50286330197
57,100121.10467671703
58,100118.72341721295
59,100118.72341721295
