,0
0,170481.3230450467
1,171132.66800619502
2,175338.25884445113
3,175442.1494245202
4,178922.01793576527
5,177376.29184007028
6,176943.21321221525
7,177732.47100706998
8,176264.13458390418
9,178101.6714262067
10,179011.29182404865
11,179718.77435570347
12,179718.77435570347
13,180563.63993971658
14,180520.6729909406
15,180620.39882475894
16,184117.25418487348
17,187048.14451560538
18,187870.42932542108
19,184842.7267977484
20,185767.2012189093
21,185051.75968652967
22,192436.20538134576
23,193953.55723644496
24,189199.18809046748
25,186366.79796094896
26,188066.23203866006
27,189421.73302921536
28,196821.819865923
29,195128.98899269738
30,191548.21080128208
31,193892.9749606277
32,191271.40014133212
33,198465.25017231624
34,217736.86658222595
35,231669.86102758566
36,223777.36534021632
37,239155.30359408967
38,251954.24687437608
39,262269.72400171775
40,227913.40285230736
41,221167.80992646795
42,226953.649314342
43,214560.4717650938
44,199946.4105718212
45,198519.9275834154
46,216341.33552493708
47,213083.8720841242
48,227352.19830259567
49,224260.05395213375
50,237861.44707540757
51,231677.15837448364
52,236148.55133643645
53,215473.13370483776
54,219434.07053337476
55,224208.06137479964
56,213398.17863472167
57,211580.81406162443
58,218103.13358507337
59,213458.75745382492
