,0
0,93624.47708817034
1,93486.3293134363
2,92575.48280271991
3,90241.7430883257
4,90644.70481588253
5,90641.18413822293
6,90641.18413822293
7,90641.18413822293
8,90641.18413822293
9,90641.18413822293
10,90641.18413822293
11,90641.18413822293
12,90641.18413822293
13,90641.18413822293
14,90641.18413822293
15,90641.18413822293
16,90641.18413822293
17,90641.18413822293
18,90458.59568982625
19,90442.41645741773
20,90441.7196129939
21,90845.37085758008
22,91830.98719599005
23,91414.47232681813
24,91063.74433512303
25,91679.65057688329
26,90711.39508556553
27,90589.30913306614
28,89171.34180410192
29,87288.77183219472
30,87785.62710627308
31,91311.55704243795
32,88921.76242744108
33,81109.94982673551
34,81821.12636230528
35,83001.70925474592
36,83222.21130372479
37,80390.69674836544
38,80580.20715059477
39,81940.6922292767
40,84198.79500035825
41,84141.97022296261
42,85497.9967703503
43,89866.48680995344
44,87316.50451529385
45,86707.18016086819
46,88775.4697238355
47,87759.12621496891
48,86627.14818636555
49,86674.90372282598
50,90162.61851956746
51,92597.68251929968
52,98226.34764169043
53,96090.90448039517
54,98912.65842138679
55,99160.98371086127
56,97173.61861755376
57,99709.99274128911
58,101053.2226398508
59,96610.9173480875
