,0
0,107111.75636554578
1,107731.4784756334
2,108365.87474834228
3,108234.04212796665
4,107163.00714840456
5,107826.39311880633
6,105473.36691041355
7,106678.94619891513
8,105992.20255952791
9,106979.05764461856
10,106633.92939394519
11,106884.73287425753
12,107319.83660822817
13,107306.9885055022
14,107318.38269526271
15,107312.38588868885
16,107312.38588868885
17,107211.56334817676
18,107068.58738694324
19,107041.11917084033
20,107036.92286462981
21,107036.92286462981
22,106960.05648687408
23,106955.85983973571
24,106955.85983973571
25,106955.85983973571
26,106955.85983973571
27,106955.85983973571
28,106955.85983973571
29,106967.6498397357
30,106507.41583973571
31,106211.40583973571
32,105942.47692159137
33,106062.66770924244
34,106201.71379868183
35,106189.1686294347
36,106185.10691852523
37,106185.10691852523
38,106185.10691852523
39,106185.10691852523
40,106185.10691852523
41,106185.10691852523
42,106185.10691852523
43,106185.10691852523
44,106185.10691852523
45,106185.10691852523
46,106185.10691852523
47,106185.10691852523
48,106185.10691852523
49,106185.10691852523
50,106185.10691852523
51,106185.10691852523
52,106185.10691852523
53,106185.10691852523
54,106185.10691852523
55,106185.10691852523
56,106185.10691852523
57,106185.10691852523
58,106185.10691852523
59,106147.3751982143
