,0
0,154591.87286798278
1,156791.4918122462
2,157587.54438255107
3,153439.6915162257
4,151428.6113386134
5,147301.70722413817
6,149124.24863509933
7,147678.78475744044
8,144976.39576877392
9,148453.8885758952
10,150045.99371650495
11,149061.40237954893
12,147176.01471303738
13,145751.49958722864
14,144787.85700212276
15,141415.10795425213
16,139445.9252803401
17,136177.9199917201
18,144096.54819106855
19,149166.14613879955
20,150695.40502385894
21,147741.63101299084
22,150150.7374757556
23,151072.48255716122
24,150213.58373130596
25,149396.582409151
26,152601.74144222058
27,151847.58637561597
28,151051.53380531108
29,149857.4549498538
30,152224.66390891827
31,149522.27492025174
32,152832.17771257198
33,154340.48784578123
34,154843.2578901843
35,158174.10943435467
36,158530.23821580686
37,158153.16068250453
38,155555.51545308865
39,156456.3117826442
40,158907.31574910914
41,160206.1383638171
42,161735.39724887646
43,164731.06876344478
44,162217.21854142944
45,163201.80987838545
46,164165.45246349133
47,166008.9426263026
48,170261.53925187862
49,172963.92824054518
50,169339.79417047297
51,172796.33822574414
52,173005.8257442454
53,175331.13719960963
54,174681.72589225566
55,174660.77714040555
56,176127.1897699145
57,177907.83367717543
58,176294.77978471556
59,178389.65496972838
