,0
0,92250.66433543137
1,89848.16915366105
2,92503.5585650914
3,92271.7388545697
4,92930.59102441148
5,93006.07136096482
6,95258.9049087668
7,96501.12153792861
8,100733.07988473421
9,102606.9320880461
10,100585.69825076585
11,101701.58776509765
12,100564.6437316275
13,99490.86325557236
14,100937.34074854378
15,102721.41751696679
16,103163.2442001066
17,102384.78766314598
18,102737.38278093605
19,103001.11541369744
20,106049.54224065132
21,105292.6914422352
22,105902.37680762596
23,106596.15670617408
24,107584.26747077293
25,108299.0710026104
26,110128.12709878272
27,106827.4166723568
28,104809.14787658045
29,107320.74869292305
30,107773.41675404823
31,107606.10482413472
32,107961.75469981878
33,108507.10178733556
34,106304.73854928701
35,112387.45606389729
36,113603.99956681934
37,114380.07042213171
38,118239.44981071202
39,116687.30810008732
40,119065.51210085492
41,117239.1974248254
42,118392.18477633831
43,115331.52744323132
44,114891.2959090173
45,117281.12423760768
46,116778.00248422024
47,117784.24599099514
48,115771.75897744534
49,117239.1974248254
50,117155.34379926082
51,115960.42963496562
52,115394.41766240475
53,115541.16150714275
54,117868.09961655972
55,121243.20804553387
56,123025.0975887811
57,123850.51338199459
58,124907.49149635113
59,127086.16168876445
