,0
0,95285.39509135178
1,93283.31577320983
2,94948.20278513839
3,98004.00806019714
4,97561.44315829208
5,96212.67393343856
6,96823.83498845031
7,96044.07778033188
8,96465.56816309861
9,93557.28452200821
10,92735.3782756131
11,89258.08261778763
12,88625.84704363754
13,83841.93119923523
14,85612.19080685546
15,83715.48408440521
16,84136.97446717194
17,83652.2605269902
18,85738.63792168548
19,89215.93357951095
20,91175.86385937622
21,90712.22443833282
22,88984.11386898925
23,89110.56098381928
24,88520.47444794586
25,89068.4119455426
26,89068.4119455426
27,90501.47924694946
28,87192.77974223068
29,88773.36867760589
30,85801.8614791005
31,81987.37351506164
32,87529.97204844406
33,88225.43118000915
34,88836.5922350209
35,91576.27972300461
36,90248.58501728943
37,88120.05858431748
38,89510.97684744766
39,91555.20520386627
40,90627.92636177948
41,90311.80857470444
42,89489.90232830933
43,90206.43597901275
44,87909.31339293411
45,89447.75329003265
46,87656.41916327408
47,86012.60667048386
48,86623.7677254956
49,83336.14273991516
50,80322.48650313308
51,79795.62352467468
52,82703.90716576508
53,84642.762926492
54,86834.51291687897
55,85991.53215134551
56,83462.58985474518
57,88562.62348622254
58,92840.75087130477
59,92250.66433543137
